nome,renda,idade,etnia,sexo,casapropria,outrasrendas,estadocivil,escolaridade
"Cheyenne, Pico",3358.5032684537305,26.18287345886572,1,1,1,1,1,2
"Nicklos, Begay",3423.7034324146352,61.41394663089172,0,0,1,0,0,2
"Akil, O'Reilly",2613.2977255170745,28.038352478955332,0,0,0,0,0,0
"Ramiro, Estala",3236.4619965640986,41.42538356987636,1,0,0,0,0,0
"Tyauna, Ikener",2582.291498884865,20.36144009511918,0,1,0,0,0,2
"Zain, el-Huda",2500.341850304721,64.52998741685599,1,0,0,1,0,0
"Niko, Cox",3070.0108747335717,29.790288495065383,0,0,1,0,1,0
"Lindsay, Miller",2234.1277283190348,28.5071509776847,0,1,1,0,0,0
"Roshni, Ley",2775.3692865179705,18.565149152762473,0,1,1,0,0,2
"Turki, al-Taheri",2594.426193909392,35.79048529475739,1,0,1,1,1,1
"Khaira, el-Popal",5254.298757336818,35.0928845995088,1,1,1,1,0,1
"Nathaniel, Pierce",3797.404599213152,58.05057353251688,1,0,1,1,0,2
"Marcus, Riser",3273.0629371130703,72.26204311097533,0,0,0,1,0,3
"Marquise, James",5596.305428648524,45.346275944290056,0,0,0,0,1,3
"Tanisa, Risenhoover",4078.949442576728,44.829147919562764,1,1,0,1,0,0
"Matthew, Siu",2825.875625380018,40.79734774996819,1,0,1,1,0,0
"Sally, Zapien",3937.2877447613937,38.53480780314276,1,1,0,1,1,3
"Sun Woo, Goetsch",3399.0980877766515,26.142098395139584,0,1,1,0,1,3
"Eileen, Falcone",6228.277803617977,34.37514700179872,0,1,1,1,1,3
"Keiley, Guzman",2553.0144918681185,23.463996445338374,0,1,1,0,1,3
"Amalia, Than",2766.399569901936,35.35682694740719,1,1,0,1,1,3
"Nawaal, al-Rais",5399.043064441059,29.20865867381876,0,1,0,1,0,3
"Tiffany, Rodriguez",2583.2989571365506,61.64233443211641,0,1,1,1,1,1
"Adrian, Hart-Haver",3672.1973236187378,48.14597848344042,1,0,0,0,0,0
"Alysha, Craven",1265.8390831750503,42.281792820406196,0,1,0,0,1,2
"Ibtisaama, al-Hasan",5794.682775365042,53.63245496133868,1,1,1,1,1,1
"Jasmine, Ngan",1266.4698646350596,62.98025598098647,1,1,0,1,0,3
"Leilani, Chan",1831.0760905370719,37.45003741304408,0,1,1,1,1,3
"Triston, Tapia-Enriquez",6008.43190521048,36.262726133911876,1,0,0,0,0,2
"Zebulon, Edens",1600.8166839364053,49.091857223232005,1,0,1,1,0,1
"Sarai, Guardado",2900.6012297948196,30.624523785930844,0,1,0,0,1,1
"Rylee, Garcia",2480.001503959753,36.19096267356797,0,0,1,1,0,0
"Navil, Francisco",1884.3633180817533,66.52024118648775,1,1,1,0,1,3
"Alyssa, Gayheart",3577.677495746902,27.428076071356585,1,1,0,0,1,3
"Joshua, Thompson",2785.2537995154134,58.71902393020887,1,0,0,0,0,1
"Samantha, Bui",3592.972850553733,21.377848359243522,1,1,1,1,0,3
"Erik, Claudio",3413.293802692572,32.63048989978394,0,0,0,0,1,0
"Ciana, Sasaki",5477.959002825986,18.46204324066639,1,1,1,1,1,2
"Jonah, Tucker",1530.1302768532728,62.11278644856585,1,0,1,1,0,1
"Wasim, Zerai",5556.29726988842,72.31775095068761,1,0,1,0,0,0
"Shelby, Dolan",2139.206373853194,25.072709934618956,0,1,1,1,1,0
"Tara, Bradley",4207.218230232034,50.90599403515535,1,1,0,0,0,2
"Erika, Camacho",3273.101900510407,47.454598711428005,1,1,0,1,0,1
"Cadin, Thompson",5992.055800480917,57.11052989792819,1,0,1,1,0,1
"Aaron, Tarbox",2452.3064995299596,19.08494897186756,0,0,1,0,1,2
"Zachary, Mitchell",3606.645987998854,38.90894258215168,1,0,0,0,0,1
"Dae-Zjon, Mcclendon",2597.004924536966,61.3630536922348,1,0,0,0,0,3
"C'Eaundra, Harris",1471.2730692699552,47.04158223508464,0,1,0,0,1,3
"Ka'Ima, Johnson",4046.8744172283614,22.922475431033682,1,1,0,0,1,2
"Stephanie, Le",3474.8322479730737,58.88792844214431,0,1,0,1,1,3
"Brett, Montanez Payan",3851.819342084849,72.53926805603233,1,0,0,1,0,2
"Marlana, Davis",2684.1494588040437,53.63455399654701,0,1,1,0,1,2
"Syssy, Martinez",3949.5170192945166,62.70804916939019,0,1,0,0,0,3
"Andrea, Rivera",3053.916556918574,38.697127235182016,0,1,1,0,1,2
"Haakima, el-Adel",2846.512343715276,22.8932514381159,0,1,1,0,1,3
"Keaton, Suto",3779.0132874320493,44.49961175260844,1,0,1,1,0,0
"Xavion, Ikener",2934.555725388282,44.31211015351842,1,0,0,0,0,2
"Najaat, el-Saadeh",2281.3788754894035,52.88241225888858,0,1,0,0,0,1
"Andrew, Sloan",5053.767284046566,36.15497445537806,0,0,1,1,1,2
"Kelisha, Gerard",3381.5108398084335,24.458780349360108,1,1,1,0,1,3
"Wajeeha, el-Jabour",2345.9368628051116,54.374195860570154,0,1,0,0,1,3
"Rodrigo, Alvarado",5188.411608849615,31.576535541383993,1,0,1,1,1,1
"Kayla, Foster",5736.844370562982,32.332673597889986,0,1,0,1,1,3
"Maria, Brutout",2693.753937181942,35.45988824628646,1,1,1,0,0,3
"Michelle, Guereca",2536.548446018241,22.444611144323865,1,1,0,1,0,1
"Naaif, al-Kassem",3181.2878355280104,27.14386114778756,0,0,0,1,1,2
"Lauren, Page",2538.729572690668,47.29662374266733,1,1,1,0,0,2
"Wyatt, Rioja Piedras",2756.9239541426523,46.643149000832615,1,0,0,0,0,0
"Maisara, el-Gad",3407.6879370076786,25.742200964566287,1,1,0,1,1,2
"Taylor, Rose",5154.1222198860005,64.45941750768554,1,1,1,1,1,2
"Aamina, al-Hassen",3519.3563800378015,29.66941727612596,0,1,0,0,0,1
"Karla, Atayde",5950.700323888645,25.66122921184574,0,1,0,1,0,1
"Devon, Montelongo",2528.044458762161,36.94971314088765,1,0,1,0,1,2
"Kelsi, Wisneski",6445.490603796494,48.46721477896299,1,1,1,1,0,1
"Jamon, Alston",3191.257644692889,56.3047681606689,0,0,1,0,0,3
"Chelsea, Ickes",6153.555213901074,22.300074850573754,0,1,1,0,1,1
"Matthew, Fifita",2242.37356385697,59.1730007374739,1,0,0,0,0,1
"Rito, Tucson",5657.420696787178,48.19545542202812,1,0,1,0,0,1
"Bradley, Fermin",3292.5196095905512,47.434710582826746,1,0,1,0,0,1
"Haarith, al-Samaan",2663.3191461081256,40.736230614625875,1,0,0,0,0,1
"Lubaaba, al-Salahuddin",1526.776665608766,26.463469693890694,1,1,0,0,1,3
"Ayyoob, al-Sami",1233.3087883416094,32.233572334982505,1,0,1,0,1,3
"Lashay, Kizer",2868.0740905560215,54.22751003808069,0,1,0,1,1,3
"Stacey, Villanueva",1472.9652502580398,57.97733782413723,1,1,0,1,1,3
"Miqdaad, el-Rayes",1788.8081842079823,49.402263063573166,1,0,1,0,1,1
"Mitchell, Valle",3469.3218085002977,56.44673631478059,1,0,0,0,0,0
"Felisha, Cung",1731.1047417655275,56.94542723570727,1,1,0,1,0,0
"Jasmine, Jurnett",5634.325485778922,41.22500578731908,1,1,1,1,1,3
"Trevor, Xiong",3020.3559026718826,39.09202274681084,1,0,0,1,1,0
"Gianna, Windom",5282.509830817481,62.77359306283162,0,1,0,1,1,3
"Kyle, Ngo",3172.804924628968,37.92873210229752,1,0,0,0,1,3
"Domenik, Baker",2914.3969352492163,55.50812633146631,0,0,1,0,1,1
"Corina, Medrano",3594.1235600755176,26.79772167202931,1,1,1,0,1,1
"Jesse, Portillo",6346.334299317517,47.238816435446346,1,0,0,0,0,0
"Abdul Rauf, el-Noor",1773.0497773177535,53.85745320562587,1,0,0,1,0,1
"Sheresha, Zavala",3302.7409757456917,50.08535030979172,0,1,1,1,1,1
"Jack, Atencio",2724.6587414636742,35.34537422166129,1,0,0,0,1,1
"Eric, Hicks",5171.460660122038,64.79877011231382,0,0,0,1,1,2
"Dennis, Williams",5528.7037886414755,45.98849945217212,1,0,0,0,0,1
"Trina, Lara",3310.193207539478,21.975666129030287,0,1,0,1,1,2
"Wallace, Tillman",2606.1379661256387,39.748145394680904,0,0,0,0,0,3
"Christiana, Parker",5097.365173747165,56.22563364523792,1,1,0,0,1,3
"Ronnie, Diggins",2555.764502137314,48.314816757082056,1,0,1,0,0,1
"Foster, Huang",3082.9853676524503,70.62644366234441,1,0,0,0,1,0
"Rushdi, el-Mahmoud",3871.4747194627726,46.104682900840025,1,0,0,0,0,1
"Alivia, Gallegos",1467.381457901688,18.389405392323454,1,1,0,0,1,1
"Ilhaam, el-Jama",1761.6240689038298,38.52703430657566,1,1,0,0,1,2
"Kayla, Sanchez",2547.163260524235,46.65336212033498,1,1,1,1,1,1
"Zaaida, el-Jamil",3076.044873721705,28.488693145263152,0,1,1,0,0,1
"Mikaela, Moore III",1770.2668000578421,38.84706446462603,0,1,1,0,0,0
"Channarith, Macaranas",6008.593702902757,53.43170448020216,1,0,0,0,1,0
"Mariah, Leon",5901.486695850466,23.56793386963141,1,1,1,0,1,1
"Tyler, Cardona",3695.066331490711,44.56525996621133,1,0,1,0,0,0
"Baheej, al-Mahdi",3672.1829347179746,54.01548185925814,1,0,0,0,0,1
"Ashley, John",5184.216709075024,45.65949099944353,0,1,0,0,1,0
"Pierre, Miles",2501.664539699036,59.15807447376095,1,0,0,1,0,3
"Haashim, al-Mowad",2657.067297492144,42.9386324510503,1,0,1,0,1,3
"Caleb, Masters",5775.104620032124,31.964858260287876,0,0,0,0,0,1
"Kavita, Sobolewski",2850.495664993,64.24802329137319,0,1,1,1,0,2
"Jedeo, Scott",1686.6551463560377,54.5877412011199,0,0,0,1,0,1
"Sarah, Martinez",2949.13872614801,47.961092519053345,1,1,0,1,0,2
"Toniesha, Hailu",3853.474337127559,42.22167950466687,1,0,0,1,0,1
"Mayci, Morris",1650.6275278107769,18.153201509462715,0,1,1,0,1,3
"Adam, Huls",3610.5788958680173,65.3029987642966,1,0,0,0,0,1
"Husni, el-Hariri",3114.715405178034,47.323007990553734,0,0,0,0,0,0
"Heather, Duffy",2523.8721103415487,18.09648753368807,1,1,1,0,0,3
"Caitlyn, Frankel",2575.274775659721,59.434268037305294,1,1,1,1,1,3
"Adam, Davidson",3087.444225603449,29.21084904122993,1,0,1,0,1,2
"Desiree, Delgado Calzada",3810.5878215014486,46.1482434039669,0,1,0,0,0,3
"Ottauna, Mcconico",1990.460227525048,31.34474519130214,1,1,1,0,0,1
"Josue, Tafoya",3465.872238924102,59.28655081705488,1,0,0,1,0,0
"Kenneth, Johnson",3358.7470423520335,59.66050418794214,0,0,0,1,0,0
"Dante, Vigil",4016.950160963461,20.31220172819866,1,0,0,1,0,2
"Faatin, el-Farra",2920.2070424779977,44.21121487585293,1,0,1,1,1,3
"Maryissa, Vigil",3632.266047870443,54.82890868513614,0,1,1,0,1,0
"Claudia, Hutchinson",3897.4276466760784,29.489498764383736,1,1,1,0,1,3
"Isabelle, Morgan",2787.0655328964476,20.35116447787732,0,1,0,1,1,3
